Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V8V1T0B,Samsung,980 NVMe PCIe M.2 1TB,65,251,262559,https://ssd.userbenchmark.com/SpeedTest/1488476/Samsung-SSD-980-1TB
SSD,WDS100T1B0E,WD,Black SN750 SE NVMe PCIe M.2 1TB,66,247,17877,https://ssd.userbenchmark.com/SpeedTest/1625969/WD-BLACK-SN750-SE-1TB
SSD,SB-ROCKET-4TB,Sabrent,Rocket NVMe PCIe M.2 4TB,67,247,463,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),68,244,4979,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 NVMe PCIe M.2 960GB,69,244,3141,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,WDS500G3X0C,WD,Black SN750 NVMe PCIe M.2 500GB (2019),70,244,109999,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,71,242,74184,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,72,241,38097,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,73,239,34988,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,74,238,21542,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,75,236,3931,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,76,235,154949,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,MZ-V7S250BW,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,77,234,87206,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,77,234,87206,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),78,233,23087,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,79,233,3035,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,SB-ROCKET-2TB,Sabrent,Rocket NVMe PCIe M.2 2TB,80,232,12308,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,CSSD-F960GBMP510,Corsair,Force NVMe PCIe M.2 960GB,81,230,32020,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,2YY46AA#ABC,HP,EX920 NVMe PCIe M.2 512GB,82,229,8191,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,WDS100T2B0C,WD,Blue SN550 NVMe PCIe M.2 1TB,83,228,180890,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,84,228,10188,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,85,225,6967,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,MZ-V8V500B,Samsung,980 NVMe PCIe M.2 500GB,86,224,92081,https://ssd.userbenchmark.com/SpeedTest/1488477/Samsung-SSD-980-500GB
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,87,223,54978,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,MKNSSDPL500GB-D8,Mushkin,Pilot NVMe PCIe M.2 500GB,88,221,3554,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
SSD,CT250P5SSD8,Crucial,P5 3D NVMe PCIe M.2 250GB,89,219,1098,https://ssd.userbenchmark.com/SpeedTest/1239408/CT250P5SSD8
SSD,WDS500G1B0E,WD,Black SN750 SE NVMe PCIe M.2 500GB,90,219,12376,https://ssd.userbenchmark.com/SpeedTest/1628435/WD-BLACK-SN750-SE-500GB
SSD,SB-ROCKET-1TB,Sabrent,Rocket NVMe PCIe M.2 1TB,91,219,1116,https://ssd.userbenchmark.com/SpeedTest/764240/NVMe-Sabrent
SSD,SSDPEKNW020T8X1,Intel,660p NVMe PCIe M.2 2TB,92,217,33949,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,93,217,80540,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,CT2000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 2TB,94,217,7464,https://ssd.userbenchmark.com/SpeedTest/1332635/CT2000P2SSD8
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,95,216,15626,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,96,213,165668,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,97,213,34063,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,CT1000P1SSD8,Crucial,P1 3D NVMe PCIe M.2 1TB,98,212,171271,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,99,208,2445,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,100,208,61,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
