Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,id
GPU, GV-RX460WF2OC-2GD,Gigabyte,Gigabyte RX 460 2GB Windforce OC,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2377
GPU,STRIX-RX460-O4G-GAMING,Asus,Asus RX 460 4GB ROG STRIX OC,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2378
GPU,GV-RX460WF2OC-2GD,Gigabyte,Gigabyte RX 460 2GB Windforce OC,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2379
GPU,AXRX 460 2GBD5-DH/OC,PowerColor,PowerColor RX 460 2GB Red Dragon,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2380
GPU,11257-02-20G,Sapphire,Sapphire RX 460 4GB Nitro,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2381
GPU,100409-2GOCL,Sapphire,Sapphire RX 460 2GB 1210 MHz,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2382
GPU,11257-00-20G,Sapphire,Sapphire RX 460 2GB 1090 MHz,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2383
GPU,RX-460P4DFG5,XFX,XFX RX 460 2GB,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2384
GPU,RX-460P2SFG5,XFX,XFX RX 460 2GB,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2385
GPU,RX-460P4SFG5,XFX,XFX RX 460 4GB SF,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2386
GPU,GV-RX460WF2OC-4GD,Gigabyte,Gigabyte RX 460 4GB Windforce 2x,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2387
